,Entropy of slide
"748246_1C,1D",1.9356159363410412
"748742_2B,2C",1.6738591678656993
749566_S2B,0.9810651711278493
749667_5J,1.9293054950568915
749885_A,1.9907251598990199
752970_1C,1.4631190385161301
753138_4B,1.687983616550752
753520_1G,1.7276980682530507
753598_B,1.6770933236800318
753834_9B,1.5461069509829355
754206_13,1.4141011060914574
754310_7C,1.8087930788193538
754972_B,1.8460393272255948
755375_3B,1.84520847470373
757568_D,1.7247641016670379
760098_9D,1.413033138440739
762106_7B,1.8940983725103961
764430_7B,1.7771258114774604
765407_H,1.3187509739452494
765680_7C,1.7176343330128871
767626_1F,1.7954885966540455
767867_A,1.9068299893263831
768370_7B,1.7170162356290068
"768610_7B,7C",1.932006643544986
"769150_8C,8D",1.8700320763682212
"769151_8B,8C",1.8036654545743451
"769292_12A,12B",1.8029692424285404
"769293_1A,1B",1.8154069919610187
"769404_8B,9",1.852332944552108
771609_7G,1.5823416404722273
"771986_A,B",1.7587025210000744
"772291_7B,7C",1.3311018374335122
772517_2A,1.8545721897809446
772529_1A,1.919410655273538
772734_2B,1.6990906531006345
773502_5C,1.8346133301271093
773580_3B,1.52540988113241
774990_2A,1.8631771903319287
775603_1B,1.6640715267466304
775663_2A,1.3707609065766728
776614_2B,1.8349648549873014
777303_3D,1.596439567843356
779162_2E,1.7694094679437877
"781978_8B,8C",1.6126867362299575
