,STR,LYM
2020-06-29/744897_6A,0.24200000000000002,0.2762898550724638
2020-06-29/745559_1A,0.25773195876288657,0.010416666666666666
"2020-06-29/746472_1A,1B",0.18556701030927836,0.08163265306122448
"2020-06-30/743303_7A,7B",0.13131313131313133,0.1414141414141414
"2020-06-30/744172_7A,7B",0.13,0.04
"2020-06-30/744646_8B,8C",0.18181818181818182,0.3170806100217865
"2020-07-01/739321_7A,7B",0.28340548340548355,0.16999999999999998
"2020-07-01/739323_7B,7C",0.31287878787878787,0.03529411764705882
"2020-07-01/741893_1A,1B",0.29812102790826195,0.010559910414333708
"2020-07-01/742282_1A,1B",0.3333333333333333,0.04040404040404041
"2020-07-06/736058_1A,1B",0.01042777580282024,0.06754781861164845
"2020-07-06/736463_1A,1B",0.29292929292929293,0.21212121212121213
"2020-07-06/737435_1A,1B",0.1526129943502825,0.19
"2020-07-06/738595_A,B",0.19,0.20202020202020202
"2020-07-06/739100_BD1,BD2",0.20192307692307693,0.13459821428571428
"2020-07-07/734057_7B,7C",0.08444444444444446,0.12350770014000255
"2020-07-07/734098_A,B",0.33707865168539325,0.09
"2020-07-08/624436_13A,13B",0.24489795918367346,0.05086580086580101
"2020-07-08/625482_7A,7B",0.1194841012329656,0.05128205128205128
"2020-07-08/627381_1A,1B",0.0918660287081339,0.08124531132783193
"2020-07-08/635605_7A,7B",0.07531769305962861,0.19298245614035087
"2020-07-08/637613_BD,1A",0.17722960151802655,0.0
"2020-07-08/646409_7A,7B",0.25842696629213485,0.08955223880597014
2020-07-08/646591_10,0.0658102766798419,0.08474849094567405
"2020-07-08/647319_1A,1B",0.08333333333333333,0.0
"2020-07-09/620114_A,B",0.24242424242424243,0.04040404040404041
"2020-07-09/622803_10B,10C",0.12094572094572097,0.19067882472137795
"2020-07-09/623580_1A,1B",0.15,0.06315789473684211
"2020-07-10/591533_7A,7B",0.21,0.10869565217391305
"2020-07-10/595955_7A,7B",0.16176470588235295,0.05660377358490566
"2020-07-10/612788_1A,1B",0.15789473684210525,0.16058201058201058
"2020-07-13/562793_1A,1B",0.34,0.05
"2020-07-13/576903_1A,1B",0.1111111111111111,0.0379746835443038
"2020-07-13/578325_10B,10C",0.020811855670103085,0.08421052631578949
"2020-07-13/581520_7A,7B",0.19573409171702807,0.13924050632911392
"2020-07-13/581654_1A,1B",0.13829787234042554,0.13402061855670103
"2020-07-13/584570_7B,7C",0.120144578313253,0.09090909090909091
"2020-07-16/730297_1A,1B",0.14127272727272722,0.16
"2020-07-16/730532_7B,7C",0.25,0.16161616161616163
"2020-07-16/730748_A,B",0.06451612903225806,0.09611292962356796
"2020-07-16/731413_1A,1B",0.0375,0.0
"2020-07-16/732102_A,B",0.12,0.11044444444444448
"2020-07-16/733216_A,B",0.0,0.022222222222222223
"2020-07-20/725785_7A,7B",0.3047929535575383,0.17346938775510204
"2020-07-20/728718_1A,1B",0.16326530612244897,0.11931082331174847
"2020-07-20/728955_1B,1C",0.3,0.12903225806451613
"2020-07-21/719383_8A,8B",0.2673588394254019,0.19
"2020-07-21/720060_A,B",0.26262626262626265,0.11578947368421053
"2020-07-21/720324_1A,1B",0.19791666666666666,0.13
"2020-07-21/720519_7B,7C",0.27586206896551724,0.09278350515463918
"2020-07-21/720520_7B,7C",0.23232323232323232,0.09278350515463918
"2020-07-21/720976_1A,1B",0.07187499999999993,0.06
"2020-07-21/722547_7B,8A",0.2,0.19
"2020-07-21/722733_4A,4B",0.08016161616161617,0.042323232323232325
